datetime,date,year,month,day,hour,day_of_week,is_weekend,season,city,station,latitude,longitude,pm25,pm10,no2,so2,co,o3,temperature,humidity,wind_speed,visibility,aqi,aqi_category
2020-01-01 06:00:00,2020-01-01,2020,1,1,6,Wednesday,0.0,winter,Delhi,"Anand Vihar, Delhi",28.6469,77.3164,371.8,739.4,119.6,47.7,5.19,12.3,9.4,100.0,3.6,1.2,500.0,Severe
2020-01-01 12:00:00,2020-01-01,2020,1,1,12,Wednesday,0.0,winter,Delhi,"Anand Vihar, Delhi",28.6469,77.3164,301.1,588.8,117.9,39.3,4.32,15.8,20.6,50.0,5.9,1.4,500.0,Severe
2020-01-01 18:00:00,2020-01-01,2020,1,1,18,Wednesday,0.0,winter,Delhi,"Anand Vihar, Delhi",28.6469,77.3164,334.0,602.6,150.1,36.3,7.13,14.3,12.4,56.0,4.5,1.1,500.0,Severe
2020-01-01 23:00:00,2020-01-01,2020,1,1,23,Wednesday,0.0,winter,Delhi,"Anand Vihar, Delhi",28.6469,77.3164,403.8,841.8,142.0,30.3,4.9,13.2,14.4,48.0,5.8,1.4,500.0,Severe
2020-01-01 06:00:00,2020-01-01,2020,1,1,6,Wednesday,0.0,winter,Delhi,"Jahangirpuri, Delhi",28.7299,77.1718,433.2,784.7,138.4,41.5,7.56,15.4,6.8,100.0,2.8,0.4,500.0,Severe
2020-01-01 12:00:00,2020-01-01,2020,1,1,12,Wednesday,0.0,winter,Delhi,"Jahangirpuri, Delhi",28.7299,77.1718,233.4,426.8,72.2,30.4,3.99,24.6,20.0,64.0,9.9,2.1,396.0,Very Poor
2020-01-01 18:00:00,2020-01-01,2020,1,1,18,Wednesday,0.0,winter,Delhi,"Jahangirpuri, Delhi",28.7299,77.1718,362.2,633.0,174.6,40.7,6.74,13.5,14.9,47.0,4.7,0.5,500.0,Severe
2020-01-01 23:00:00,2020-01-01,2020,1,1,23,Wednesday,0.0,winter,Delhi,"Jahangirpuri, Delhi",28.7299,77.1718,346.9,564.4,141.3,43.4,5.51,16.3,13.3,51.0,4.6,1.2,500.0,Severe
2020-01-01 06:00:00,2020-01-01,2020,1,1,6,Wednesday,0.0,winter,Delhi,"Wazirpur, Delhi",28.6999,77.1653,326.2,587.1,121.5,42.4,4.76,14.3,6.1,100.0,4.2,1.0,500.0,Severe
2020-01-01 12:00:00,2020-01-01,2020,1,1,12,Wednesday,0.0,winter,Delhi,"Wazirpur, Delhi",28.6999,77.1653,311.9,559.1,114.4,26.7,4.06,12.6,17.4,56.0,7.3,1.2,500.0,Severe
2020-01-01 18:00:00,2020-01-01,2020,1,1,18,Wednesday,0.0,winter,Delhi,"Wazirpur, Delhi",28.6999,77.1653,354.6,758.2,180.3,47.2,8.58,13.0,14.9,46.0,4.4,1.4,500.0,Severe
2020-01-01 23:00:00,2020-01-01,2020,1,1,23,Wednesday,0.0,winter,Delhi,"Wazirpur, Delhi",28.6999,77.1653,336.3,625.1,115.0,30.0,6.02,15.9,12.9,47.0,6.4,1.0,500.0,Severe
2020-01-01 06:00:00,2020-01-01,2020,1,1,6,Wednesday,0.0,winter,Delhi,"Bawana, Delhi",28.7762,77.051,324.5,590.2,111.6,29.4,5.79,17.1,6.2,100.0,2.5,1.1,500.0,Severe
2020-01-01 12:00:00,2020-01-01,2020,1,1,12,Wednesday,0.0,winter,Delhi,"Bawana, Delhi",28.7762,77.051,302.1,580.8,96.4,29.8,3.86,17.6,17.3,61.0,7.3,0.7,500.0,Severe
2020-01-01 18:00:00,2020-01-01,2020,1,1,18,Wednesday,0.0,winter,Delhi,"Bawana, Delhi",28.7762,77.051,316.2,637.6,157.3,23.9,7.06,16.1,15.3,57.0,5.7,0.9,500.0,Severe
2020-01-01 23:00:00,2020-01-01,2020,1,1,23,Wednesday,0.0,winter,Delhi,"Bawana, Delhi",28.7762,77.051,375.6,701.5,113.1,35.4,5.27,16.0,13.3,59.0,6.3,0.7,500.0,Severe
2020-01-01 06:00:00,2020-01-01,2020,1,1,6,Wednesday,0.0,winter,Delhi,"ITO, Delhi",28.6289,77.2414,293.1,641.1,115.2,30.3,5.01,24.8,7.6,100.0,3.6,2.2,500.0,Severe
2020-01-01 12:00:00,2020-01-01,2020,1,1,12,Wednesday,0.0,winter,Delhi,"ITO, Delhi",28.6289,77.2414,215.4,349.5,66.6,13.2,3.37,26.4,20.2,47.0,6.3,2.4,373.0,Very Poor
2020-01-01 18:00:00,2020-01-01,2020,1,1,18,Wednesday,0.0,winter,Delhi,"ITO, Delhi",28.6289,77.2414,273.9,442.0,139.0,25.6,5.64,21.1,14.3,47.0,4.1,2.8,418.0,Severe
2020-01-01 23:00:00,2020-01-01,2020,1,1,23,Wednesday,0.0,winter,Delhi,"ITO, Delhi",28.6289,77.2414,300.6,626.0,105.9,19.3,4.42,17.9,15.4,60.0,6.2,1.2,500.0,Severe
2020-01-01 06:00:00,2020-01-01,2020,1,1,6,Wednesday,0.0,winter,Delhi,"Punjabi Bagh, Delhi",28.6683,77.1311,346.0,617.3,106.2,23.7,4.38,15.7,9.9,100.0,4.0,1.5,500.0,Severe
2020-01-01 12:00:00,2020-01-01,2020,1,1,12,Wednesday,0.0,winter,Delhi,"Punjabi Bagh, Delhi",28.6683,77.1311,266.1,574.3,106.8,16.8,3.62,29.1,19.2,64.0,7.1,2.9,500.0,Severe
2020-01-01 18:00:00,2020-01-01,2020,1,1,18,Wednesday,0.0,winter,Delhi,"Punjabi Bagh, Delhi",28.6683,77.1311,285.5,522.3,153.0,22.0,6.35,28.1,15.6,52.0,4.8,2.7,500.0,Severe
2020-01-01 23:00:00,2020-01-01,2020,1,1,23,Wednesday,0.0,winter,Delhi,"Punjabi Bagh, Delhi",28.6683,77.1311,273.4,465.3,92.5,27.9,4.14,22.4,15.3,55.0,5.1,1.3,444.0,Severe
2020-01-01 06:00:00,2020-01-01,2020,1,1,6,Wednesday,0.0,winter,Delhi,"Okhla Phase 2, Delhi",28.5308,77.271,371.5,785.5,146.5,30.7,6.38,17.2,9.2,100.0,2.1,0.8,500.0,Severe
2020-01-01 12:00:00,2020-01-01,2020,1,1,12,Wednesday,0.0,winter,Delhi,"Okhla Phase 2, Delhi",28.5308,77.271,212.5,427.2,88.3,13.0,2.63,21.6,20.8,52.0,6.8,2.9,396.0,Very Poor
2020-01-01 18:00:00,2020-01-01,2020,1,1,18,Wednesday,0.0,winter,Delhi,"Okhla Phase 2, Delhi",28.5308,77.271,284.3,485.3,119.4,26.7,4.8,27.9,14.4,50.0,6.9,2.1,469.0,Severe
